         r_int      r_ext      T_int      T_ext      nCells      qConv_int      qConv_ext
 case1    0.03500    0.05500      618.0      426.0       30.0  -227.429   227.628
 case2    0.03500    0.05500      618.0      426.0       45.0  -222.949   223.067
 case3    0.03500    0.05500      618.0      426.0       60.0  -204.380   205.252
 case4    0.03500    0.05500      618.0      426.0       75.0  -197.660   211.655
 case5    0.03500    0.05500      618.0      518.0       30.0   -97.626    97.631
 case6    0.03500    0.05500      618.0      518.0       45.0   -96.109    96.116
 case7    0.03500    0.05500      618.0      518.0       60.0   -95.528    95.936
 case8    0.03500    0.05500      618.0      518.0       75.0   -92.382    99.446
 case9    0.03500    0.05500      618.0      468.0       30.0  -165.014   165.068
 case10    0.03500    0.05500      618.0      468.0       45.0  -162.033   162.087
 case11    0.03500    0.05500      618.0      468.0       60.0  -147.837   148.375
 case12    0.03500    0.05500      618.0      468.0       75.0  -142.708   153.099
 case13    0.03500    0.05500      550.0      358.0       30.0  -235.599   235.847
 case14    0.03500    0.05500      550.0      358.0       45.0  -212.715   212.837
 case15    0.03500    0.05500      550.0      358.0       60.0  -212.110   212.896
 case16    0.03500    0.05500      550.0      358.0       75.0  -206.732   218.340
 case17    0.03500    0.05500      550.0      450.0       30.0  -101.012   101.019
 case18    0.03500    0.05500      550.0      450.0       45.0   -99.370    99.385
 case19    0.03500    0.05500      550.0      450.0       60.0   -90.162    90.407
 case20    0.03500    0.05500      550.0      450.0       75.0   -87.138    93.157
 case21    0.03500    0.05500      550.0      400.0       30.0  -170.890   170.966
 case22    0.03500    0.05500      550.0      400.0       45.0  -153.828   153.879
 case23    0.03500    0.05500      550.0      400.0       60.0  -153.309   153.892
 case24    0.03500    0.05500      550.0      400.0       75.0  -148.564   158.376
 case25    0.03500    0.05500      450.0      258.0       30.0  -250.428   250.820
 case26    0.03500    0.05500      450.0      258.0       45.0  -226.549   226.759
 case27    0.03500    0.05500      450.0      258.0       60.0  -226.376   226.565
 case28    0.03500    0.05500      450.0      258.0       75.0  -226.057   228.239
 case29    0.03500    0.05500      450.0      350.0       30.0   -97.559    97.592
 case30    0.03500    0.05500      450.0      350.0       45.0   -96.235    96.251
 case31    0.03500    0.05500      450.0      350.0       60.0   -95.937    96.197
 case32    0.03500    0.05500      450.0      350.0       75.0   -93.614    98.405
 case33    0.03500    0.05500      450.0      300.0       30.0  -181.494   181.679
