          r_int       r_ext       T_int       T_ext     Qconv    Qcond         Cp                 mu          nu                keff            Pr              Ra              Gr
 case1    0.03500    0.05500      618.0      426.0     205.51        0     1.03316e+03     2.75601e-05     4.09361e-05     7.69990e-02     6.95024e-01     1.72081e+04     1.19600e+04
 case2    0.03500    0.05500      618.0      518.0      87.78        0     1.04174e+03     2.92054e-05     4.82138e-05     6.31460e-02     6.93426e-01     5.93779e+03     4.11742e+03
 case3    0.03500    0.05500      618.0      468.0     148.50        0     1.03697e+03     2.83199e-05     4.41798e-05     7.12180e-02     6.94143e-01     1.10959e+04     7.70211e+03
 case4    0.03500    0.05500      550.0      358.0     216.81        0     1.02208e+03     2.49986e-05     3.14878e-05     8.12300e-02     6.99899e-01     3.34409e+04     2.34052e+04
 case5    0.03500    0.05500      550.0      450.0      92.52        0     1.02936e+03     2.67482e-05     3.76970e-05     6.65560e-02     6.96243e-01     1.10340e+04     7.68233e+03
 case6    0.03500    0.05500      550.0      400.0     156.65        0     1.02530e+03     2.58061e-05     3.42261e-05     7.51240e-02     6.98031e-01     2.11349e+04     1.47528e+04
 case7    0.03500    0.05500      450.0      258.0     233.02        0     1.00928e+03     2.09517e-05     2.06087e-05     8.73060e-02     7.14685e-01     1.00118e+05     7.15529e+04
 case8    0.03500    0.05500      450.0      350.0      99.91        0     1.01465e+03     2.28546e-05     2.51844e-05     7.18690e-02     7.06503e-01     3.09025e+04     2.18327e+04
 case9    0.03500    0.05500      450.0      300.0     168.79        0     1.01162e+03     2.18292e-05     2.26116e-05     8.09450e-02     7.10610e-01     6.13359e+04     4.35859e+04
 case10    0.03500    0.07500      618.0      426.0     226.08        0     1.03316e+03     2.75601e-05     4.09361e-05     1.42829e-01     6.95024e-01     1.37665e+05     9.56803e+04
 case11    0.03500    0.07500      618.0      518.0      96.57        0     1.04174e+03     2.92054e-05     4.82138e-05     1.17132e-01     6.93426e-01     4.75023e+04     3.29393e+04
 case12    0.03500    0.07500      618.0      468.0     163.36        0     1.03697e+03     2.83199e-05     4.41798e-05     1.32105e-01     6.94143e-01     8.87668e+04     6.16169e+04
 case13    0.03500    0.07500      550.0      358.0     238.50        0     1.02208e+03     2.49986e-05     3.14878e-05     1.50677e-01     6.99899e-01     2.67527e+05     1.87242e+05
 case14    0.03500    0.07500      550.0      450.0     101.78        0     1.02936e+03     2.67482e-05     3.76970e-05     1.23457e-01     6.96243e-01     8.82718e+04     6.14586e+04
 case15    0.03500    0.07500      550.0      400.0     172.32        0     1.02530e+03     2.58061e-05     3.42261e-05     1.39351e-01     6.98031e-01     1.69079e+05     1.18022e+05
 case16    0.03500    0.07500      450.0      258.0     256.34        0     1.00928e+03     2.09517e-05     2.06087e-05     1.61947e-01     7.14685e-01     8.00945e+05     5.72423e+05
 case17    0.03500    0.07500      450.0      350.0     109.90        0     1.01465e+03     2.28546e-05     2.51844e-05     1.33312e-01     7.06503e-01     2.47220e+05     1.74662e+05
 case18    0.03500    0.07500      450.0      300.0     185.68        0     1.01162e+03     2.18292e-05     2.26116e-05     1.50149e-01     7.10610e-01     4.90687e+05     3.48687e+05
 case19    0.03500    0.09500      618.0      426.0     241.45        0     1.03316e+03     2.75601e-05     4.09361e-05     1.99851e-01     6.95024e-01     4.64619e+05     3.22921e+05
 case20    0.03500    0.09500      618.0      518.0     103.13        0     1.04174e+03     2.92054e-05     4.82138e-05     1.63896e-01     6.93426e-01     1.60320e+05     1.11170e+05
 case21    0.03500    0.09500      618.0      468.0     174.47        0     1.03697e+03     2.83199e-05     4.41798e-05     1.84846e-01     6.94143e-01     2.99588e+05     2.07957e+05
 case22    0.03500    0.09500      550.0      358.0     254.72        0     1.02208e+03     2.49986e-05     3.14878e-05     2.10833e-01     6.99899e-01     9.02904e+05     6.31941e+05
 case23    0.03500    0.09500      550.0      450.0     108.70        0     1.02936e+03     2.67482e-05     3.76970e-05     1.72746e-01     6.96243e-01     2.97917e+05     2.07423e+05
