
length(m) T_init(°C) T_end(°C) HL_TRM(kW) HL_model1(kW) DiffHL_1 HL_model2(kW) DiffHL_2 HL_model3(kW) DiffHL_3 HL_model4(kW) DiffHL_4
 1000.0      300.0      501.3      628.1      617.0       -1.8      616.8       -1.8      913.7       45.5      933.0       48.5

***************************************************************************************************************

Detailed HL calculation given length. Calculation of HL Colsim's modes 1-4 
length(m) T_init(°C) T_end(°C) HL_TRM(kW) HL_model1(kW) DiffHL_1 HL_model2(kW) DiffHL_2 HL_model3(kW) DiffHL_3 HL_model4(kW) DiffHL_4
 600.0      300.0      428.8      309.2      307.4       -0.6      307.4       -0.6      407.9       32.0      402.3       30.1
 400.0      300.0      389.4      185.7      185.8        0.0      184.1       -0.9      226.9       22.2      224.1       20.6
 200.0      300.0      348.2       83.4       84.0        0.8       81.9       -1.8       92.0       10.4       92.7       11.2
 100.0      300.0      327.0       39.4       39.9        1.2       38.5       -2.4       40.9        3.8       42.0        6.4
 50.0      300.0      316.3       19.2       19.4        1.4       18.6       -2.8       19.2        0.3       19.9        4.0
 20.0      300.0      309.8        7.5        7.7        1.6        7.3       -3.1        7.4       -1.8        7.7        2.6
 10.0      300.0      307.7        3.7        3.8        1.6        3.6       -3.1        3.7       -2.6        3.8        2.1
 5.0      300.0      306.6        1.9        1.9        1.7        1.8       -3.2        1.8       -2.9        1.9        1.9


***************************************************************************************************************

Detailed HL calculation given number of divisions. Calculation of HL Colsim's modes 1-4
 

***************************************************************************************************************

Begin calculation T_init 300  Segment 1    Divisions 2    Length 500   
 
nDiv LengthRec(m) T_end(°C) HL_TRM(kW) HL_model1(kW) DiffHL_1 HL_model2(kW) DiffHL_2 HL_model3(kW) DiffHL_3 HL_model4(kW) DiffHL_4
 1.0      500.0      405.3      244.7      244.0       -0.3      243.1       -0.6      311.5         27.3        306.8       25.4
 2.0     1000.0      498.0      383.1      381.0       -0.6      381.8       -0.4      456.5         19.2        466.1       21.7

 End of calculation  
 2.0      500.0      498.0      627.8      625.0       -0.4      624.9       -0.5      768.0         22.3        773.0       23.1


***************************************************************************************************************


***************************************************************************************************************

Begin calculation T_init 300  Segment 1    Divisions 4    Length 250   
 
nDiv LengthRec(m) T_end(°C) HL_TRM(kW) HL_model1(kW) DiffHL_1 HL_model2(kW) DiffHL_2 HL_model3(kW) DiffHL_3 HL_model4(kW) DiffHL_4
 1.0      250.0      353.9      107.1      107.7        0.6      105.5       -1.5      121.6         13.5        121.6       13.5
 2.0      500.0      405.1      137.4      136.9       -0.4      138.3        0.6      155.6         13.2        153.3       11.5
