 Hour_year       Day          Hour         G_on         G_o          decl      w_sunset    w_sunrise        w       Light_hours   Theta_zeta    Gamma_s     Theta_t      Theta_l    Theta_i      f_end         
           1           1           0      1412.1      -763.4       -23.0       106.0      -106.0      -167.5        14.1       122.7       122.7       -13.7       -13.7        20.2       -56.5        54.8
           2           1           1      1412.1      -666.1       -23.0       106.0      -106.0      -152.5        14.1       118.1       118.1       -28.8       -28.8        42.0       -58.6        50.6
           3           1           2      1412.1      -502.9       -23.0       106.0      -106.0      -137.5        14.1       110.9       110.9       -41.7       -41.7        60.2       -63.0        44.2
           4           1           3      1412.1      -284.9       -23.0       106.0      -106.0      -122.5        14.1       101.6       101.6       -52.4       -52.4        75.4       -71.3        36.7
           5           1           4      1412.1       -27.0       -23.0       106.0      -106.0      -107.5        14.1        91.1        91.1       -61.4       -61.4        88.8       -87.7        28.6
           6           1           5      1412.1       253.2       -23.0       106.0      -106.0       -92.5        14.1        79.7        79.7       -69.2       -69.2       -79.0        62.9        20.5
           7           1           6      1412.1       536.7       -23.0       106.0      -106.0       -77.5        14.1        67.7        67.7       -76.3       -76.3       -67.1        30.0        12.7
           8           1           7      1412.1       804.0       -23.0       106.0      -106.0       -62.5        14.1        55.3        55.3       -83.3       -83.3       -55.1         9.6         5.5
           9           1           8      1412.1      1037.1       -23.0       106.0      -106.0       -47.5        14.1        42.7        42.7       -90.9       -90.9       -42.7        -0.8        -0.6
          10           1           9      1412.1      1220.0       -23.0       106.0      -106.0       -32.5        14.1        30.2        30.2      -100.9      -100.9       -29.8        -6.3        -5.4
          11           1          10      1412.1      1340.3       -23.0       106.0      -106.0       -17.5        14.1        18.4        18.4      -118.5      -118.5       -16.3        -9.0        -8.6
          12           1          11      1412.1      1389.7       -23.0       106.0      -106.0        -2.5        14.1        10.2        10.2      -166.9      -166.9        -2.3       -10.0       -10.0
          13           1          12      1412.1      1364.9       -23.0       106.0      -106.0        12.5        14.1        14.9        14.9       129.0       129.0        11.6        -9.5        -9.3
          14           1          13      1412.1      1267.6       -23.0       106.0      -106.0        27.5        14.1        26.1        26.1       105.4       105.4        25.3        -7.4        -6.7
          15           1          14      1412.1      1104.4       -23.0       106.0      -106.0        42.5        14.1        38.5        38.5        93.8        93.8        38.5        -3.0        -2.4
          16           1          15      1412.1       886.4       -23.0       106.0      -106.0        57.5        14.1        51.1        51.1        85.7        85.7        51.0         5.3         3.4
          17           1          16      1412.1       628.5       -23.0       106.0      -106.0        72.5        14.1        63.6        63.6        78.6        78.6        63.1        21.7        10.2
          18           1          17      1412.1       348.3       -23.0       106.0      -106.0        87.5        14.1        75.7        75.7        71.6        71.6        75.0        51.1        17.8
          19           1          18      1412.1        64.8       -23.0       106.0      -106.0       102.5        14.1        87.4        87.4        64.1        64.1        87.1        84.0        25.9
          20           1          19      1412.1      -202.6       -23.0       106.0      -106.0       117.5        14.1        98.2        98.2        55.6        55.6       -80.0       -75.6        34.0
          21           1          20      1412.1      -435.6       -23.0       106.0      -106.0       132.5        14.1       108.0       108.0        45.5        45.5       -65.6       -65.2        41.8
          22           1          21      1412.1      -618.5       -23.0       106.0      -106.0       147.5        14.1       116.0       116.0        33.4        33.4       -48.5       -59.7        48.7
          23           1          22      1412.1      -738.8       -23.0       106.0      -106.0       162.5        14.1       121.5       121.5        19.0        19.0       -27.9       -57.0        53.7
          24           1          23      1412.1      -788.2       -23.0       106.0      -106.0       177.5        14.1       123.9       123.9         2.8         2.8        -4.1       -56.0        56.0
          25           2           0      1412.1      -765.1       -22.9       106.0      -106.0      -167.5        14.1       122.8       122.8       -13.7       -13.7        20.2       -56.4        54.7
          26           2           1      1412.1      -667.7       -22.9       106.0      -106.0      -152.5        14.1       118.2       118.2       -28.9       -28.9        42.0       -58.5        50.5
          27           2           2      1412.1      -504.4       -22.9       106.0      -106.0      -137.5        14.1       110.9       110.9       -41.8       -41.8        60.1       -62.9        44.2
