  node   position        T1       T2       T3       T4       T5       T6       T7       T8       T9      T10      T11         h12   q1_2_conv  q2_3_cond  q3_4_conv   q3_4_rad  q4_5_cond  q5_10_conv   q5_6_conv    q5_rad    q6_rad   q10_rad  q6_10_conv  q6_7_cond  q7_8_rad  q7_8_conv  q8_9_cond  q9_10_conv  q9_11_rad  q3_SolAbs  q5_SolAbs  q6_SolAbs  q9_SolAbs    q_HL_ext   q_HL_int  q_HL_corr    diff_HL        p_htf        h_htf        x_htf    T1_evap    rho_htf        v_htf
     1      0.000   100.000  111.954  121.048   48.772   48.670   31.011   31.011   29.764   23.867   25.000   17.000    1541.311    3820.329   3820.329      0.000     13.670     13.670      71.066       0.000   -25.807     3.475    22.333      57.887      5.587     4.847      0.741      5.587     -25.902     36.490   3834.000     83.203     60.000      5.000     161.873     13.670     18.459     -4.789   5.0000e+05    145262.88   -9.900e+01    -99.000    997.898      1.46456
     2      5.000   102.152  113.954  123.034   48.893   48.788   31.018   31.018   29.770   23.867   25.000   17.000    1560.984    3819.827   3819.827      0.000     14.173     14.173      71.408       0.000   -25.968     3.550    22.418      57.957      5.593     4.852      0.742      5.593     -25.898     36.491   3834.000     83.203     60.000      5.000     162.376     14.173     18.833     -4.660   4.9791e+05    149083.21   -9.900e+01    -99.000    996.127      1.46716
     3     10.000   104.297  115.953  125.018   49.017   48.909   31.026   31.025   29.776   23.867   25.000   17.000    1580.408    3819.316   3819.316      0.000     14.684     14.684      71.755       0.000   -26.131     3.626    22.505      58.028      5.599     4.857      0.742      5.599     -25.893     36.492   3834.000     83.203     60.000      5.000     162.887     14.684     19.210     -4.527   4.9582e+05    152903.04   -9.900e+01    -99.000    994.363      1.46976
     4     15.000   106.435  117.949  127.000   49.144   49.031   31.033   31.033   29.782   23.867   25.000   17.000    1599.584    3818.797   3818.797      0.000     15.203     15.203      72.108       0.000   -26.298     3.704    22.594      58.100      5.605     4.862      0.743      5.605     -25.888     36.493   3834.000     83.203     60.000      5.000     163.406     15.203     19.593     -4.390   4.9374e+05    156722.35   -9.900e+01    -99.000    992.605      1.47237
     5     20.000   108.565  119.943  128.979   49.272   49.155   31.041   31.041   29.789   23.868   25.000   17.000    1618.516    3818.269   3818.269      0.000     15.731     15.731      72.467       0.000   -26.467     3.783    22.684      58.173      5.610     4.867      0.744      5.610     -25.884     36.494   3834.000     83.203     60.000      5.000     163.934     15.731     19.979     -4.248   4.9165e+05    160541.15   -9.900e+01    -99.000    990.854      1.47497
     6     25.000   110.688  121.935  130.956   49.402   49.281   31.049   31.048   29.795   23.868   25.000   17.000    1637.206    3817.732   3817.732      0.000     16.268     16.268      72.832       0.000   -26.639     3.864    22.775      58.247      5.616     4.872      0.744      5.616     -25.879     36.495   3834.000     83.203     60.000      5.000     164.471     16.268     20.371     -4.103   4.8956e+05    164359.42   -9.900e+01    -99.000    989.109      1.47757
     7     30.000   112.804  123.924  132.931   49.534   49.409   31.057   31.056   29.802   23.868   25.000   17.000    1655.657    3817.187   3817.187      0.000     16.813     16.813      73.202       0.000   -26.814     3.946    22.869      58.323      5.623     4.877      0.745      5.623     -25.874     36.496   3834.000     83.203     60.000      5.000     165.016     16.813     20.767     -3.954   4.8746e+05    168177.15   -9.900e+01    -99.000    987.369      1.48017
     8     35.000   114.913  125.910  134.903   49.669   49.540   31.065   31.064   29.809   23.868   25.000   17.000    1673.872    3816.633   3816.633      0.000     17.367     17.367      73.578       0.000   -26.993     4.029    22.964      58.400      5.629     4.883      0.746      5.629     -25.869     36.498   3834.000     83.203     60.000      5.000     165.570     17.367     21.168     -3.800   4.8537e+05    171994.34   -9.900e+01    -99.000    985.636      1.48278
     9     40.000   117.015  127.893  136.872   49.805   49.672   31.073   31.073   29.816   23.869   25.000   17.000    1691.852    3816.070   3816.070      0.000     17.930     17.930      73.959       0.000   -27.174     4.114    23.060      58.479      5.635     4.888      0.747      5.635     -25.864     36.499   3834.000     83.203     60.000      5.000     166.133     17.930     21.573     -3.643   4.8328e+05    175810.97   -9.900e+01    -99.000    983.907      1.48538
    10     45.000   119.110  129.874  138.838   49.944   49.807   31.081   31.081   29.823   23.869   25.000   17.000    1709.602    3815.498   3815.498      0.000     18.502     18.502      74.347       0.000   -27.358     4.200    23.158      58.558      5.642     4.894      0.748      5.642     -25.859     36.500   3834.000     83.203     60.000      5.000     166.705     18.502     21.984     -3.482   4.8118e+05    179627.04   -9.900e+01    -99.000    982.184      1.48799
    11     50.000   121.198  131.851  140.801   50.085   49.943   31.090   31.090   29.830   23.869   25.000   17.000    1727.123    3814.917   3814.917      0.000     19.083     19.083      74.740       0.000   -27.546     4.288    23.258      58.640      5.648     4.900      0.748      5.648     -25.853     36.501   3834.000     83.203     60.000      5.000     167.286     19.083     22.400     -3.317   4.7908e+05    183442.54   -9.900e+01    -99.000    980.466      1.49059
    12     55.000   123.279  133.825  142.761   50.228   50.082   31.098   31.098   29.837   23.869   25.000   17.000    1744.419    3814.327   3814.327      0.000     19.673     19.673      75.140       0.000   -27.736     4.377    23.359      58.722      5.655     4.906      0.749      5.655     -25.848     36.503   3834.000     83.203     60.000      5.000     167.876     19.673     22.821     -3.148   4.7698e+05    187257.46   -9.900e+01    -99.000    978.753      1.49320
