        node           T3          T10     q_HL_int
    1.000000    84.141000    25.000000    28.628000
    2.000000    84.236000    25.000000    28.711000
    3.000000    84.332000    25.000000    28.794000
    4.000000    84.427000    25.000000    28.886000
    5.000000    84.523000    25.000000    28.969000
    6.000000    84.614000    25.000000    28.975000
    7.000000    84.710000    25.000000    29.309000
    8.000000    84.805000    25.000000    29.393000
    9.000000    84.900000    25.000000    29.476000
   10.000000    84.995000    25.000000    29.560000
   11.000000    85.091000    25.000000    29.643000
   12.000000    85.186000    25.000000    29.726000
   13.000000    85.281000    25.000000    29.810000
   14.000000    85.376000    25.000000    29.893000
   15.000000    85.471000    25.000000    29.976000
   16.000000    85.566000    25.000000    30.060000
   17.000000    85.661000    25.000000    30.143000
   18.000000    85.756000    25.000000    30.226000
   19.000000    85.851000    25.000000    30.309000
   20.000000    85.945000    25.000000    30.392000
   21.000000    86.040000    25.000000    30.476000
   22.000000    86.131000    25.000000    30.481000
   23.000000    86.225000    25.000000    30.817000
   24.000000    86.320000    25.000000    30.900000
   25.000000    86.414000    25.000000    30.984000
   26.000000    86.509000    25.000000    31.067000
   27.000000    86.603000    25.000000    31.150000
   28.000000    86.698000    25.000000    31.234000
   29.000000    86.792000    25.000000    31.317000
   30.000000    86.886000    25.000000    31.401000
   31.000000    86.981000    25.000000    31.484000
   32.000000    87.075000    25.000000    31.567000
   33.000000    87.169000    25.000000    31.650000
   34.000000    87.263000    25.000000    31.734000
   35.000000    87.357000    25.000000    31.817000
   36.000000    87.451000    25.000000    31.900000
   37.000000    87.545000    25.000000    31.983000
   38.000000    87.639000    25.000000    32.066000
   39.000000    87.729000    25.000000    32.070000
   40.000000    87.823000    25.000000    32.409000
   41.000000    87.916000    25.000000    32.492000
   42.000000    88.010000    25.000000    32.575000
   43.000000    88.104000    25.000000    32.659000
   44.000000    88.197000    25.000000    32.742000
   45.000000    88.291000    25.000000    32.825000
   46.000000    88.384000    25.000000    32.909000
   47.000000    88.478000    25.000000    32.992000
   48.000000    88.571000    25.000000    33.075000
   49.000000    88.665000    25.000000    33.158000
   50.000000    88.758000    25.000000    33.241000
   51.000000    88.851000    25.000000    33.324000
   52.000000    88.944000    25.000000    33.407000
   53.000000    89.038000    25.000000    33.490000
   54.000000    89.131000    25.000000    33.573000
   55.000000    89.220000    25.000000    33.576000
   56.000000    89.313000    25.000000    33.917000
   57.000000    89.406000    25.000000    34.000000
   58.000000    89.498000    25.000000    34.083000
   59.000000    89.591000    25.000000    34.167000
   60.000000    89.684000    25.000000    34.250000
   61.000000    89.777000    25.000000    34.333000
   62.000000    89.869000    25.000000    34.416000
   63.000000    89.962000    25.000000    34.499000
   64.000000    90.055000    25.000000    34.582000
   65.000000    90.147000    25.000000    34.665000
   66.000000    90.240000    25.000000    34.748000
   67.000000    90.332000    25.000000    34.831000
   68.000000    90.424000    25.000000    34.914000
   69.000000    90.517000    25.000000    34.997000
   70.000000    90.609000    25.000000    35.080000
   71.000000    90.697000    25.000000    35.082000
   72.000000    90.789000    25.000000    35.164000
   73.000000    90.881000    25.000000    35.507000
   74.000000    90.973000    25.000000    35.590000
   75.000000    91.065000    25.000000    35.673000
   76.000000    91.157000    25.000000    35.756000
   77.000000    91.249000    25.000000    35.839000
   78.000000    91.341000    25.000000    35.922000
   79.000000    91.433000    25.000000    36.005000
   80.000000    91.525000    25.000000    36.088000
   81.000000    91.616000    25.000000    36.171000
   82.000000    91.708000    25.000000    36.254000
   83.000000    91.800000    25.000000    36.337000
   84.000000    91.891000    25.000000    36.419000
   85.000000    91.983000    25.000000    36.502000
   86.000000    92.074000    25.000000    36.585000
   87.000000    92.165000    25.000000    36.667000
   88.000000    92.253000    25.000000    36.668000
   89.000000    92.344000    25.000000    37.012000
   90.000000    92.435000    25.000000    37.095000
   91.000000    92.526000    25.000000    37.178000
   92.000000    92.617000    25.000000    37.261000
   93.000000    92.708000    25.000000    37.344000
   94.000000    92.799000    25.000000    37.426000
   95.000000    92.890000    25.000000    37.509000
   96.000000    92.981000    25.000000    37.592000
   97.000000    93.085000    25.000000    37.687000
   98.000000    93.178000    25.000000    37.771000
   99.000000    93.270000    25.000000    37.855000
  100.000000    93.363000    25.000000    37.939000
  101.000000    93.455000    25.000000    38.023000
