        node           T3          T10     q_HL_int
    1.000000   121.048000    25.000000    13.670000
    2.000000   123.034000    25.000000    14.173000
    3.000000   125.018000    25.000000    14.684000
    4.000000   127.000000    25.000000    15.203000
    5.000000   128.979000    25.000000    15.731000
    6.000000   130.956000    25.000000    16.268000
    7.000000   132.931000    25.000000    16.813000
    8.000000   134.903000    25.000000    17.367000
    9.000000   136.872000    25.000000    17.930000
   10.000000   138.838000    25.000000    18.502000
   11.000000   140.801000    25.000000    19.083000
   12.000000   142.761000    25.000000    19.673000
   13.000000   144.717000    25.000000    20.272000
   14.000000   146.670000    25.000000    20.880000
   15.000000   148.619000    25.000000    21.497000
   16.000000   150.565000    25.000000    22.124000
   17.000000   152.507000    25.000000    22.760000
   18.000000   154.446000    25.000000    23.405000
   19.000000   156.380000    25.000000    24.060000
   20.000000   158.311000    25.000000    24.725000
   21.000000   160.237000    25.000000    25.399000
   22.000000   162.160000    25.000000    26.083000
   23.000000   164.079000    25.000000    26.777000
   24.000000   165.993000    25.000000    27.481000
   25.000000   167.904000    25.000000    28.194000
   26.000000   169.810000    25.000000    28.918000
   27.000000   171.713000    25.000000    29.651000
   28.000000   173.611000    25.000000    30.395000
   29.000000   175.505000    25.000000    31.149000
   30.000000   177.395000    25.000000    31.914000
   31.000000   179.280000    25.000000    32.688000
   32.000000   181.161000    25.000000    33.474000
   33.000000   183.038000    25.000000    34.269000
   34.000000   184.911000    25.000000    35.076000
   35.000000   186.780000    25.000000    35.893000
   36.000000   188.644000    25.000000    36.721000
   37.000000   190.504000    25.000000    37.560000
   38.000000   192.359000    25.000000    38.409000
   39.000000   194.210000    25.000000    39.270000
   40.000000   196.057000    25.000000    40.142000
   41.000000   197.900000    25.000000    41.025000
   42.000000   199.738000    25.000000    41.919000
   43.000000   201.572000    25.000000    42.824000
   44.000000   203.402000    25.000000    43.741000
   45.000000   205.228000    25.000000    44.670000
   46.000000   207.049000    25.000000    45.610000
   47.000000   208.866000    25.000000    46.561000
   48.000000   210.678000    25.000000    47.525000
   49.000000   212.486000    25.000000    48.500000
   50.000000   214.290000    25.000000    49.487000
   51.000000   216.090000    25.000000    50.486000
   52.000000   217.885000    25.000000    51.496000
   53.000000   219.677000    25.000000    52.520000
   54.000000   221.464000    25.000000    53.555000
   55.000000   223.246000    25.000000    54.602000
   56.000000   225.025000    25.000000    55.662000
   57.000000   226.799000    25.000000    56.734000
   58.000000   228.569000    25.000000    57.819000
   59.000000   230.335000    25.000000    58.916000
   60.000000   232.096000    25.000000    60.026000
   61.000000   233.854000    25.000000    61.149000
   62.000000   235.607000    25.000000    62.284000
   63.000000   237.356000    25.000000    63.433000
   64.000000   239.101000    25.000000    64.594000
   65.000000   240.842000    25.000000    65.769000
   66.000000   242.578000    25.000000    66.956000
   67.000000   244.311000    25.000000    68.157000
   68.000000   246.039000    25.000000    69.371000
   69.000000   247.763000    25.000000    70.598000
   70.000000   249.484000    25.000000    71.839000
   71.000000   251.200000    25.000000    73.093000
   72.000000   252.912000    25.000000    74.361000
   73.000000   254.620000    25.000000    75.642000
   74.000000   256.324000    25.000000    76.937000
   75.000000   258.024000    25.000000    78.246000
   76.000000   259.720000    25.000000    79.569000
   77.000000   261.412000    25.000000    80.906000
   78.000000   263.100000    25.000000    82.257000
   79.000000   264.784000    25.000000    83.622000
   80.000000   266.464000    25.000000    85.001000
   81.000000   268.140000    25.000000    86.394000
   82.000000   269.812000    25.000000    87.802000
   83.000000   271.480000    25.000000    89.224000
   84.000000   273.144000    25.000000    90.660000
   85.000000   274.805000    25.000000    92.111000
   86.000000   276.461000    25.000000    93.577000
   87.000000   278.114000    25.000000    95.057000
   88.000000   279.763000    25.000000    96.552000
   89.000000   281.407000    25.000000    98.062000
   90.000000   283.048000    25.000000    99.587000
   91.000000   284.686000    25.000000   101.126000
   92.000000   286.319000    25.000000   102.681000
   93.000000   287.948000    25.000000   104.251000
   94.000000   289.574000    25.000000   105.836000
   95.000000   291.196000    25.000000   107.436000
   96.000000   292.814000    25.000000   109.052000
   97.000000   294.429000    25.000000   110.682000
   98.000000   296.039000    25.000000   112.329000
   99.000000   297.646000    25.000000   113.990000
  100.000000   299.249000    25.000000   115.668000
  101.000000   300.849000    25.000000   117.361000
