name:  absorption 
dimension:  1     
interp:   linear     
fak:      1.0        
fakx:     0.17453    
ad:       0.0        
 
   0.0000e+00   9.2000e-01
  1.0000e+00   9.1877e-01
  2.0000e+00   9.1793e-01
  3.0000e+00   9.1737e-01
  4.0000e+00   9.1702e-01
  5.0000e+00   9.1680e-01
  6.0000e+00   9.1666e-01
  7.0000e+00   9.1655e-01
  8.0000e+00   9.1645e-01
  9.0000e+00   9.1632e-01
  1.0000e+01   9.1614e-01
  1.1000e+01   9.1591e-01
  1.2000e+01   9.1561e-01
  1.3000e+01   9.1525e-01
  1.4000e+01   9.1482e-01
  1.5000e+01   9.1434e-01
  1.6000e+01   9.1380e-01
  1.7000e+01   9.1322e-01
  1.8000e+01   9.1260e-01
  1.9000e+01   9.1195e-01
  2.0000e+01   9.1129e-01
  2.1000e+01   9.1062e-01
  2.2000e+01   9.0996e-01
  2.3000e+01   9.0930e-01
  2.4000e+01   9.0866e-01
  2.5000e+01   9.0804e-01
  2.6000e+01   9.0744e-01
  2.7000e+01   9.0687e-01
  2.8000e+01   9.0633e-01
  2.9000e+01   9.0581e-01
  3.0000e+01   9.0533e-01
  3.1000e+01   9.0486e-01
  3.2000e+01   9.0441e-01
  3.3000e+01   9.0397e-01
  3.4000e+01   9.0353e-01
  3.5000e+01   9.0308e-01
  3.6000e+01   9.0262e-01
  3.7000e+01   9.0213e-01
  3.8000e+01   9.0161e-01
  3.9000e+01   9.0103e-01
  4.0000e+01   9.0040e-01
  4.1000e+01   8.9968e-01
  4.2000e+01   8.9888e-01
  4.3000e+01   8.9798e-01
  4.4000e+01   8.9697e-01
  4.5000e+01   8.9583e-01
  4.6000e+01   8.9455e-01
  4.7000e+01   8.9312e-01
  4.8000e+01   8.9153e-01
  4.9000e+01   8.8976e-01
  5.0000e+01   8.8781e-01
  5.1000e+01   8.8566e-01
  5.2000e+01   8.8329e-01
  5.3000e+01   8.8070e-01
  5.4000e+01   8.7788e-01
  5.5000e+01   8.7480e-01
  5.6000e+01   8.7146e-01
  5.7000e+01   8.6784e-01
  5.8000e+01   8.6391e-01
  5.9000e+01   8.5967e-01
  6.0000e+01   8.5507e-01
  6.1000e+01   8.5010e-01
  6.2000e+01   8.4471e-01
  6.3000e+01   8.3888e-01
  6.4000e+01   8.3256e-01
  6.5000e+01   8.2569e-01
  6.6000e+01   8.1821e-01
  6.7000e+01   8.1006e-01
  6.8000e+01   8.0115e-01
  6.9000e+01   7.9139e-01
  7.0000e+01   7.8068e-01
  7.1000e+01   7.6888e-01
  7.2000e+01   7.5587e-01
  7.3000e+01   7.4148e-01
  7.4000e+01   7.2554e-01
  7.5000e+01   7.0784e-01
  7.6000e+01   6.8817e-01
  7.7000e+01   6.6628e-01
  7.8000e+01   6.4187e-01
  7.9000e+01   6.1465e-01
  8.0000e+01   5.8425e-01
  8.1000e+01   5.5031e-01
  8.2000e+01   5.1240e-01
  8.3000e+01   4.7005e-01
  8.4000e+01   4.2274e-01
  8.5000e+01   3.6993e-01
  8.6000e+01   3.1098e-01
  8.7000e+01   2.4524e-01
  8.8000e+01   1.7197e-01
  8.9000e+01   9.0375e-02
  9.0000e+01   0.0000e+00
