name:  reflection 
dimension:  1     
interp:   linear     
fak:      1.0        
fakx:     0.17453    
ad:       0.0        
 
   0.0000e+00   8.0000e-02
  1.0000e+00   8.1230e-02
  2.0000e+00   8.2073e-02
  3.0000e+00   8.2630e-02
  4.0000e+00   8.2982e-02
  5.0000e+00   8.3200e-02
  6.0000e+00   8.3340e-02
  7.0000e+00   8.3445e-02
  8.0000e+00   8.3551e-02
  9.0000e+00   8.3683e-02
  1.0000e+01   8.3861e-02
  1.1000e+01   8.4094e-02
  1.2000e+01   8.4391e-02
  1.3000e+01   8.4753e-02
  1.4000e+01   8.5179e-02
  1.5000e+01   8.5664e-02
  1.6000e+01   8.6202e-02
  1.7000e+01   8.6785e-02
  1.8000e+01   8.7403e-02
  1.9000e+01   8.8047e-02
  2.0000e+01   8.8708e-02
  2.1000e+01   8.9376e-02
  2.2000e+01   9.0043e-02
  2.3000e+01   9.0701e-02
  2.4000e+01   9.1343e-02
  2.5000e+01   9.1964e-02
  2.6000e+01   9.2561e-02
  2.7000e+01   9.3130e-02
  2.8000e+01   9.3672e-02
  2.9000e+01   9.4186e-02
  3.0000e+01   9.4675e-02
  3.1000e+01   9.5142e-02
  3.2000e+01   9.5593e-02
  3.3000e+01   9.6034e-02
  3.4000e+01   9.6472e-02
  3.5000e+01   9.6917e-02
  3.6000e+01   9.7378e-02
  3.7000e+01   9.7866e-02
  3.8000e+01   9.8392e-02
  3.9000e+01   9.8967e-02
  4.0000e+01   9.9605e-02
  4.1000e+01   1.0032e-01
  4.2000e+01   1.0112e-01
  4.3000e+01   1.0202e-01
  4.4000e+01   1.0303e-01
  4.5000e+01   1.0417e-01
  4.6000e+01   1.0545e-01
  4.7000e+01   1.0688e-01
  4.8000e+01   1.0847e-01
  4.9000e+01   1.1024e-01
  5.0000e+01   1.1219e-01
  5.1000e+01   1.1434e-01
  5.2000e+01   1.1671e-01
  5.3000e+01   1.1930e-01
  5.4000e+01   1.2212e-01
  5.5000e+01   1.2520e-01
  5.6000e+01   1.2854e-01
  5.7000e+01   1.3216e-01
  5.8000e+01   1.3609e-01
  5.9000e+01   1.4033e-01
  6.0000e+01   1.4493e-01
  6.1000e+01   1.4990e-01
  6.2000e+01   1.5529e-01
  6.3000e+01   1.6112e-01
  6.4000e+01   1.6744e-01
  6.5000e+01   1.7431e-01
  6.6000e+01   1.8179e-01
  6.7000e+01   1.8994e-01
  6.8000e+01   1.9885e-01
  6.9000e+01   2.0861e-01
  7.0000e+01   2.1932e-01
  7.1000e+01   2.3112e-01
  7.2000e+01   2.4413e-01
  7.3000e+01   2.5852e-01
  7.4000e+01   2.7446e-01
  7.5000e+01   2.9216e-01
  7.6000e+01   3.1183e-01
  7.7000e+01   3.3372e-01
  7.8000e+01   3.5813e-01
  7.9000e+01   3.8535e-01
  8.0000e+01   4.1575e-01
  8.1000e+01   4.4969e-01
  8.2000e+01   4.8760e-01
  8.3000e+01   5.2995e-01
  8.4000e+01   5.7726e-01
  8.5000e+01   6.3007e-01
  8.6000e+01   6.8902e-01
  8.7000e+01   7.5476e-01
  8.8000e+01   8.2803e-01
  8.9000e+01   9.0962e-01
  9.0000e+01   1.0000e+00
