name:  trans 
dimension:  1     
interp:   linear     
fak:      1.0        
fakx:     0.17453    
ad:       0.0        
 
   1.0000e+00   9.0659e-01
  2.0000e+00   9.0656e-01
  3.0000e+00   9.0652e-01
  4.0000e+00   9.0646e-01
  5.0000e+00   9.0638e-01
  6.0000e+00   9.0628e-01
  7.0000e+00   9.0617e-01
  8.0000e+00   9.0604e-01
  9.0000e+00   9.0588e-01
  1.0000e+01   9.0571e-01
  1.1000e+01   9.0552e-01
  1.2000e+01   9.0531e-01
  1.3000e+01   9.0508e-01
  1.4000e+01   9.0483e-01
  1.5000e+01   9.0456e-01
  1.6000e+01   9.0426e-01
  1.7000e+01   9.0394e-01
  1.8000e+01   9.0359e-01
  1.9000e+01   9.0322e-01
  2.0000e+01   9.0283e-01
  2.1000e+01   9.0240e-01
  2.2000e+01   9.0194e-01
  2.3000e+01   9.0146e-01
  2.4000e+01   9.0094e-01
  2.5000e+01   9.0038e-01
  2.6000e+01   8.9979e-01
  2.7000e+01   8.9915e-01
  2.8000e+01   8.9848e-01
  2.9000e+01   8.9776e-01
  3.0000e+01   8.9699e-01
  3.1000e+01   8.9616e-01
  3.2000e+01   8.9529e-01
  3.3000e+01   8.9435e-01
  3.4000e+01   8.9334e-01
  3.5000e+01   8.9227e-01
  3.6000e+01   8.9112e-01
  3.7000e+01   8.8989e-01
  3.8000e+01   8.8858e-01
  3.9000e+01   8.8717e-01
  4.0000e+01   8.8565e-01
  4.1000e+01   8.8402e-01
  4.2000e+01   8.8228e-01
  4.3000e+01   8.8040e-01
  4.4000e+01   8.7838e-01
  4.5000e+01   8.7620e-01
  4.6000e+01   8.7386e-01
  4.7000e+01   8.7133e-01
  4.8000e+01   8.6861e-01
  4.9000e+01   8.6567e-01
  5.0000e+01   8.6249e-01
  5.1000e+01   8.5905e-01
  5.2000e+01   8.5534e-01
  5.3000e+01   8.5132e-01
  5.4000e+01   8.4696e-01
  5.5000e+01   8.4224e-01
  5.6000e+01   8.3713e-01
  5.7000e+01   8.3157e-01
  5.8000e+01   8.2555e-01
  5.9000e+01   8.1900e-01
  6.0000e+01   8.1189e-01
  6.1000e+01   8.0416e-01
  6.2000e+01   7.9576e-01
  6.3000e+01   7.8661e-01
  6.4000e+01   7.7666e-01
  6.5000e+01   7.6584e-01
  6.6000e+01   7.5406e-01
  6.7000e+01   7.4124e-01
  6.8000e+01   7.2730e-01
  6.9000e+01   7.1214e-01
  7.0000e+01   6.9566e-01
  7.1000e+01   6.7777e-01
  7.2000e+01   6.5835e-01
  7.3000e+01   6.3731e-01
  7.4000e+01   6.1454e-01
  7.5000e+01   5.8995e-01
  7.6000e+01   5.6344e-01
  7.7000e+01   5.3494e-01
  7.8000e+01   5.0438e-01
  7.9000e+01   4.7172e-01
  8.0000e+01   4.3693e-01
  8.1000e+01   4.0003e-01
  8.2000e+01   3.6105e-01
  8.3000e+01   3.2009e-01
  8.4000e+01   2.7725e-01
  8.5000e+01   2.3271e-01
  8.6000e+01   1.8667e-01
  8.7000e+01   1.3940e-01
  8.8000e+01   9.1235e-02
  8.9000e+01   4.2734e-02
  9.0000e+01   1.3905e-29
