#  day  time	GHI	DNI	DHI	Tamb	rH	WS12	WS06	WD
#  [day]  [time]	[W/m2]	[W/m2]	[W/m2]	[C]	[%]	[m/s]	[m/s]	[°]
01/01/2013 00:10	0	0.006	0	15.18	9.81	1.989	1.396	232
01/01/2013 00:20	0	0.013	0	14.39	9.97	1.984	1.158	234
01/01/2013 00:30	0	0.017	0	14.29	9.77	1.975	1.385	223
01/01/2013 00:40	0	0.038	0	14.04	9.79	1.759	1.425	215
01/01/2013 00:50	0	0.016	0	13.61	9.82	1.725	1.327	225
01/01/2013 01:00	0	0.009	0	13.02	9.69	1.544	1.181	234
01/01/2013 01:10	0	0.014	0	12.8	9.83	1.807	1.229	230
01/01/2013 01:20	0	0.03	0	12.62	9.73	2.503	1.778	227
01/01/2013 01:30	0	0.047	0	12.04	9.89	2.126	1.536	225
01/01/2013 01:40	0	0.018	0	12.12	9.99	1.725	1.241	225
01/01/2013 01:50	0	0.002	0	11.64	10.13	2.189	1.629	215
01/01/2013 02:00	0	0.068	0	11.34	10.54	1.948	1.585	195
01/01/2013 02:10	0	0.019	0	11.17	10.88	1.894	1.495	202
01/01/2013 02:20	0	0.012	0	10.99	12.4	2.67	2.192	186
01/01/2013 02:30	0	0.046	0	11.29	13.24	2.249	1.961	188
01/01/2013 02:40	0	0.018	0	11.36	13.29	2.471	2.246	181
01/01/2013 02:50	0	0.013	0	11.3	13.51	2.173	1.853	188
01/01/2013 03:00	0	0.03	0	11.38	13.37	2.03	1.833	182
01/01/2013 03:10	0	0.049	0	11.47	13.31	2.251	1.757	193
01/01/2013 03:20	0	0.034	0	10.57	12.1	1.787	1.493	222
01/01/2013 03:30	0	0.031	0	9.26	11.7	2.276	1.616	222
01/01/2013 03:40	0	0.036	0	8.94	11.87	2.249	1.721	216
01/01/2013 03:50	0	0.032	0	9.06	12.24	2.568	2.05	216
01/01/2013 04:00	0	0.016	0	9	12.66	3.018	2.225	210
01/01/2013 04:10	0	0.038	0	9.18	12.75	2.548	1.693	220
01/01/2013 04:20	0	0.017	0	8.4	13.08	1.882	1.381	222
01/01/2013 04:30	0	0.041	0	8.4	13.34	1.898	1.378	221
01/01/2013 04:40	0	0.059	0	8.22	13.52	2.55	1.762	214
01/01/2013 04:50	0	0.029	0	8.68	13.94	2.395	1.705	215
01/01/2013 05:00	0	0.044	0	8.57	14.3	3.313	2.362	217
01/01/2013 05:10	0	0.041	0	8.62	14.4	3.123	2.349	219
01/01/2013 05:20	0	0.046	0	8.19	14.66	3.257	2.3	227
01/01/2013 05:30	0	0.029	0	7.625	14.47	3.157	2.312	228
01/01/2013 05:40	0	0.026	0	7.03	14.5	3.792	3.106	218
01/01/2013 05:50	0	0.01	0	6.853	14.55	3.123	2.515	215
01/01/2013 06:00	0.575	0.002	0.63	7.46	14.7	3.022	2.058	220
01/01/2013 06:10	6.181	1.069	5.847	8.08	14.5	3.177	2.504	197
01/01/2013 06:20	24.25	104.4	15.39	7.893	14.66	4.131	3.387	183
01/01/2013 06:30	65.35	375.5	26.24	9.04	14.13	4.329	3.671	189
01/01/2013 06:40	100.7	478.6	34.09	10.58	13.38	3.393	2.74	197
01/01/2013 06:50	139.6	569.6	39.52	10.34	13.13	4.017	3.358	181
01/01/2013 07:00	180.3	647.7	44.62	11.27	13.01	2.911	2.358	203
01/01/2013 07:10	218.8	694.3	49.94	11.65	12.65	2.937	2.497	211
01/01/2013 07:20	259.8	738.9	55.14	12.14	12.2	3.02	2.746	200
01/01/2013 07:30	300.8	773.6	60.02	13.25	11.69	3.233	3.008	202
01/01/2013 07:40	342.3	805	63.63	14.12	11.25	3.824	3.694	189
01/01/2013 07:50	385.1	837	65.83	15.97	10.42	3.089	2.85	175
01/01/2013 08:00	427.2	860	68.88	17.57	9.77	2.328	2.246	198
01/01/2013 08:10	469.7	883	70.58	18.46	9.41	2.659	2.535	193
01/01/2013 08:20	513	907	70.57	19.67	9.53	2.954	2.907	188
01/01/2013 08:30	556.1	929	70.37	20.53	9.36	2.222	2.195	174
01/01/2013 08:40	598.1	946	70.9	21.3	8.95	1.833	1.74	172
01/01/2013 08:50	639	959	71.8	22.11	8.34	1.607	1.611	158
01/01/2013 09:00	678.3	970	72.64	22.58	7.806	1.395	1.17	135
01/01/2013 09:10	716.9	981	72.78	23.61	7.107	0.834	0.712	110
01/01/2013 09:20	753.9	989	74.23	23.64	7.107	1.134	1.141	209
01/01/2013 09:30	790.2	998	74.84	24.11	6.87	0.685	0.741	227
01/01/2013 09:40	824	1004	76.09	25.25	6.461	1.044	1.029	328
01/01/2013 09:50	858	1010	77.1	25.31	6.711	1.318	1.223	9
01/01/2013 10:00	891	1016	78.83	25.4	7.031	1.895	1.745	18
01/01/2013 10:10	923	1021	79.9	25.81	6.873	2.146	1.911	13
01/01/2013 10:20	952	1025	80	26.54	6.641	1.923	1.673	353
01/01/2013 10:30	982	1031	80.8	26.18	6.766	2.669	2.456	31
01/01/2013 10:40	1010	1036	81.9	26.36	6.585	2.61	2.495	22
01/01/2013 10:50	1036	1040	82.5	26.97	6.124	2.566	2.318	22
01/01/2013 11:00	1057	1040	83.8	27.41	5.926	2.091	1.845	343
01/01/2013 11:10	1076	1041	85	28.88	5.404	2.286	2.07	343
01/01/2013 11:20	1095	1046	83.8	29.09	5.486	1.284	1.163	347
01/01/2013 11:30	1110	1049	82.4	29.22	5.741	1.146	1.119	26
01/01/2013 11:40	1125	1052	82.9	29.89	5.368	2.034	1.919	312
01/01/2013 11:50	1134	1051	83.8	29.34	5.159	1.982	1.819	41
01/01/2013 12:00	1144	1056	82.5	31.01	3.861	2.532	2.3	332
01/01/2013 12:10	1150	1057	81.7	30.16	4.34	2.2	2.036	15
01/01/2013 12:20	1154	1058	82.2	31.79	3.461	2.827	2.444	304
01/01/2013 12:30	1158	1061	81.2	32.2	3.196	2.301	2.093	324
01/01/2013 12:40	1156	1059	80.7	31.65	3.098	1.864	1.65	11
01/01/2013 12:50	1156	1056	82.5	31.12	3.196	2.328	2.08	357
01/01/2013 13:00	1156	1055	83.4	32.93	2.67	3.128	2.781	300
01/01/2013 13:10	1154	1054	83.7	32.81	2.88	2.293	2.123	299
01/01/2013 13:20	1148	1049	85.3	32.22	3.033	2.822	2.609	3
01/01/2013 13:30	1144	1049	86.3	31.88	3.29	2.713	2.494	8
01/01/2013 13:40	1136	1046	86	32.79	3.067	2.604	2.451	283
01/01/2013 13:50	1127	1045	87.1	33.35	2.936	2.328	2.167	313
01/01/2013 14:00	1114	1043	86.2	32.92	3.199	2.304	1.943	57
01/01/2013 14:10	1101	1040	86.5	34.26	2.917	3.623	3.122	331
01/01/2013 14:20	1084	1039	86	33.82	3.039	2.233	1.925	287
01/01/2013 14:30	1063	1034	86.4	34.05	2.871	3.419	3.078	355
01/01/2013 14:40	1043	1035	84.1	33.45	2.939	2.42	2.069	52
01/01/2013 14:50	1019	1034	82	34.36	2.686	2.759	2.537	7
01/01/2013 15:00	995	1032	81.5	33.92	2.768	4.01	3.575	357
01/01/2013 15:10	968	1030	79.9	34.04	2.924	4.248	3.652	360
